logFC	AveExpr	t	P.Value	adj.P.Val	B	C_AVG	T_AVG	deltaBeta	CHR	MAPINFO	Strand	Type	gene	feature	cgi	feat.cgi	UCSC_CpG_Islands_Name	DHS	Enhancer	Phantom	Probe_SNPs	Probe_SNPs_10	probeID
-0.131943511596302	0.759545372743039	-6.55099401467591	6.38924566575106E-10	5.71047543984227E-06	11.2012398125148	0.79615397711658	0.664210465520277	-0.131943511596302	1	202804464	R	II		IGR	opensea	IGR-opensea		NA	TRUE				cg23693548
-0.333705507329717	0.599278351487579	-6.53317269583492	7.02881399272073E-10	6.14249616782529E-06	11.1074807876624	0.691867162769812	0.358161655440095	-0.333705507329717	15	68932319	F	I	CORO2B	Body	opensea	Body-opensea		NA	TRUE				cg23597015
-0.158790970395801	0.43473922610249	-6.52410781938851	7.37789652188233E-10	6.26433818281941E-06	11.0598488657456	0.478796836385718	0.320005865989917	-0.158790970395802	12	4553029	R	II	FGF6	Body	shore	Body-shore	chr12:4554405-4554624	NA	NA				cg10155026
-0.288292495281243	0.674669400708658	-6.52136544154005	7.48682523833106E-10	6.26433818281941E-06	11.0454467287184	0.754658069919639	0.466365574638396	-0.288292495281243	17	79442098	R	I		IGR	opensea	IGR-opensea		NA	NA				cg15700989
-0.139137411174505	0.686601225369201	-6.51250774258153	7.84957960827524E-10	6.31493616355637E-06	10.998953719094	0.725205825001433	0.586068413826928	-0.139137411174505	6	30131821	F	II	TRIM15	1stExon	opensea	1stExon-opensea		NA	TRUE		rs2517624		cg00628477
-0.144947533942157	0.786362341567395	-6.51087339971473	7.91837645538448E-10	6.31493616355637E-06	10.9903794137488	0.826578998383716	0.681631464441558	-0.144947533942158	4	11225303	R	II		IGR	opensea	IGR-opensea		NA	TRUE				cg11076814
-0.181671721954254	0.678336137232094	-6.50827355647069	8.02903981573882E-10	6.31493616355637E-06	10.9767424500243	0.728742164132697	0.547070442178442	-0.181671721954254	16	85126437	R	II	KIAA0513	3'UTR	opensea	3'UTR-opensea		NA	NA				cg08620267
-0.17643367385721	0.792439470201574	-6.50258307116047	8.27659462962922E-10	6.38200097582249E-06	10.9469056159777	0.841392165838257	0.664958491981047	-0.17643367385721	6	140400137	R	II		IGR	opensea	IGR-opensea		NA	TRUE				cg00081417
-0.203919826184985	0.530549294368022	-6.49671047864535	8.53994344097596E-10	6.458430765047E-06	10.9161304860222	0.587128205679463	0.383208379494478	-0.203919826184985	17	39769012	F	II	KRT16	1stExon	opensea	1stExon-opensea		NA	NA				cg27478659
-0.301434456660139	0.617104243697691	-6.49296517552892	8.7121836480135E-10	6.4643745144966E-06	10.8965121330419	0.700739237453106	0.399304780792966	-0.301434456660139	3	170077545	F	II	SKIL	5'UTR	shore	5'UTR-shore	chr3:170074786-170076070	NA	NA				cg25446191
-0.161107922808084	0.673499621507754	-6.48155031821907	9.25848756147299E-10	6.74251071199004E-06	10.8367619976008	0.718200085639477	0.557092162831393	-0.161107922808084	5	185589	F	II	PLEKHG4B	3'UTR	shelf	3'UTR-shelf	chr5:181725-181944	NA	NA				cg23462129
-0.250876493634045	0.633468928870835	-6.47617215052998	9.52742599268627E-10	6.81221352032696E-06	10.8086325161988	0.703076279705714	0.452199786071669	-0.250876493634045	7	25703644	R	II		IGR	opensea	IGR-opensea		NA	NA				cg08461760
-0.208611072549811	0.725527763270892	-6.46481215121704	1.01209965898504E-09	7.10739756238962E-06	10.7492628222909	0.78340829207084	0.574797219521029	-0.208611072549811	11	6589761	F	II	DNHD1	Body	shelf	Body-shelf	chr11:6591960-6592795	TRUE	NA				cg10383568
-0.164657484056764	0.833291374315881	-6.44632254727039	1.11657617252719E-09	7.70351367198867E-06	10.6527680107967	0.8789766878114	0.714319203754636	-0.164657484056764	3	123361218	R	II	MYLK	Body	opensea	Body-opensea		NA	TRUE				cg19090128
-0.170627319666863	0.789521140923395	-6.43955276865042	1.1574237552371E-09	7.84765234981934E-06	10.6174795731094	0.836862824992814	0.666235505325951	-0.170627319666864	10	72459629	R	II	ADAMTS14	Body	opensea	Body-opensea		TRUE	TRUE				cg00618155
-0.340089062246995	0.614000983281326	-6.43550344137622	1.18255529295584E-09	7.88215193706171E-06	10.5963826976893	0.708360954309394	0.368271892062399	-0.340089062246995	17	57465550	F	I	YPEL2	Body	opensea	Body-opensea		NA	TRUE				cg10708739
-0.186063286369769	0.607353773444931	-6.42092655383536	1.27754689144187E-09	8.37338300568109E-06	10.5205047334936	0.658978269085098	0.472914982715329	-0.186063286369769	12	57595353	F	I	LRP1	Body	shore	Body-shore	chr12:57596968-57597309	NA	NA	low-CpG:55881609-55881875	rs35617674		cg18477429
-0.180928504588107	0.831051565022607	-6.41560390404009	1.31407019600578E-09	8.4595124614109E-06	10.4928246757855	0.881251381324509	0.700322876736402	-0.180928504588108	3	172109284	F	II	FNDC3B	Body	opensea	Body-opensea		NA	TRUE		rs35791314		cg02694620
-0.274642366311491	0.506931099635839	-6.41111160544465	1.34569310394047E-09	8.4595124614109E-06	10.4694737495044	0.58313244982631	0.308490083514819	-0.274642366311491	6	155537930	R	II	TIAM2	Body	shelf	Body-shelf	chr6:155539975-155540193	NA	TRUE				cg04228709
-0.223441910784487	0.527426565752815	-6.40977824623405	1.3552222599754E-09	8.4595124614109E-06	10.4625448913341	0.589422009207471	0.365980098422983	-0.223441910784487	12	47630263	R	II	FAM113B	3'UTR	shore	3'UTR-shore	chr12:47629034-47629680	TRUE	NA				cg06547285
-0.213171817186752	0.758643112580757	-6.38387463765993	1.5540795707518E-09	9.54923618243076E-06	10.3281114427424	0.817789050297313	0.60461723311056	-0.213171817186753	1	2994372	F	II	PRDM16	Body	shelf	Body-shelf	chr1:2997272-2997473	NA	NA				cg17890044
-0.240205555365404	0.676714732281761	-6.37203730941172	1.65424705469681E-09	1.00083473806438E-05	10.2667901897513	0.743361360360024	0.50315580499462	-0.240205555365404	6	42883762	R	II	PTCRA	5'UTR	opensea	5'UTR-opensea		NA	NA			rs74617894	cg01702009
-0.308375377730889	0.539071006440565	-6.36271348609347	1.73758894030168E-09	1.03532920652618E-05	10.2185391793001	0.62463180488613	0.31625642715524	-0.30837537773089	11	70266139	R	II	CTTN	Body	opensea	Body-opensea		NA	NA				cg09352338
-0.25715322863892	0.694885012167136	-6.35551843752184	1.80471095495629E-09	1.05927374821238E-05	10.1813344854714	0.76623388485308	0.509080656214159	-0.257153228638921	7	133994445	F	II	SLC35B4	Body	opensea	Body-opensea		NA	NA				cg24333621
-0.141320952195417	0.737762256111701	-6.35138784870683	1.84438952454575E-09	1.06664301009524E-05	10.1599874977703	0.776972693715054	0.635651741519636	-0.141320952195417	3	140774868	F	II	SPSB4	5'UTR	shelf	5'UTR-shelf	chr3:140769886-140771080	NA	NA				cg20692597
-0.20506627225037	0.605006437379213	-6.33868462427243	1.97186706161121E-09	1.12383848287098E-05	10.0943908030309	0.661903437772379	0.456837165522009	-0.20506627225037	7	2518188	R	II		IGR	opensea	IGR-opensea		NA	TRUE				cg21229153
-0.190245365987829	0.831392465217612	-6.32340142798573	2.13674662184101E-09	1.19908651842356E-05	10.0155797346231	0.884177306647761	0.693931940659932	-0.190245365987829	9	128657810	R	II	PBX3	Body	opensea	Body-opensea		NA	TRUE				cg14011554
-0.261473620730754	0.750874560201206	-6.32091008833971	2.16487842036925E-09	1.19908651842356E-05	10.0027438194039	0.823422154392398	0.561948533661643	-0.261473620730754	4	57525626	F	II	HOPX	5'UTR	shelf	5'UTR-shelf	chr4:57521621-57522703	NA	NA		rs4865137		cg03315456
-0.133656828366965	0.872196144652756	-6.31304007975966	2.25615718501198E-09	1.23228798604038E-05	9.96221653146455	0.909280120153417	0.775623291786452	-0.133656828366965	1	117035963	R	II		IGR	opensea	IGR-opensea		NA	NA	low-CpG:116837483-116837555			cg00579502
-0.139674281268792	0.716324038979226	-6.30151514638028	2.39668775030282E-09	1.29111210675765E-05	9.90292467268967	0.755077596787908	0.615403315519116	-0.139674281268792	6	30131840	F	II	TRIM15	1stExon	opensea	1stExon-opensea		NA	TRUE		rs2517624		cg01905142
-0.119680053490035	0.854370123990171	-6.29643800990909	2.46129232893143E-09	1.29361278797858E-05	9.87682598308436	0.887576150392031	0.767896096901996	-0.119680053490035	6	31744398	R	II	C6orf27	Body	opensea	Body-opensea		NA	TRUE				cg15369633
-0.185582112559959	0.713970600611412	-6.29394116234481	2.49368826875629E-09	1.29361278797858E-05	9.86399591948035	0.765461591379493	0.579879478819534	-0.185582112559959	9	130369375	F	II		IGR	shore	IGR-shore	chr9:130370668-130370978	NA	TRUE		rs55651363		cg13443800
-0.278494466948706	0.533327386441559	-6.2934572993433	2.50001454234321E-09	1.29361278797858E-05	9.86150995476366	0.610597527560275	0.332103060611569	-0.278494466948706	10	1402253	R	II	ADARB2	Body	shelf	Body-shelf	chr10:1404659-1406219	TRUE	TRUE				cg03754605
-0.287187235181126	0.546682052275547	-6.28257064675413	2.6465940056139E-09	1.35167398996325E-05	9.80560870198752	0.626364059724646	0.33917682454352	-0.287187235181127	11	70266172	R	II	CTTN	Body	opensea	Body-opensea		NA	NA				cg17631184
-0.175242078054466	0.722318658553346	-6.26397049301105	2.91680101704605E-09	1.46864329521246E-05	9.71024010576684	0.770940738013545	0.595698659959079	-0.175242078054466	6	41681327	R	II	TFEB	5'UTR	opensea	5'UTR-opensea		TRUE	TRUE				cg10696677
-0.103404882586686	0.847072529398655	-6.25961027736996	2.98396182739681E-09	1.46864329521246E-05	9.6879096322891	0.875762901445828	0.772358018859142	-0.103404882586686	6	46871173	R	I	GPR116	Body	opensea	Body-opensea		NA	NA				cg10816283
-0.168617268202453	0.590575028623184	-6.2593730882105	2.98765851295331E-09	1.46864329521246E-05	9.68669516821964	0.637359010552188	0.468741742349735	-0.168617268202454	17	79442037	R	II		IGR	opensea	IGR-opensea		NA	NA				cg09365645
-0.125082301040945	0.849231663631577	-6.25373493829015	3.07686752261267E-09	1.49382298083033E-05	9.6578350327079	0.88393657952733	0.758854278486386	-0.125082301040945	13	45883505	F	II		IGR	shelf	IGR-shelf	chr13:45885754-45886103	TRUE	NA				cg23515330
-0.21858072599216	0.468587085349316	-6.24715474362766	3.18429362313113E-09	1.52712508909519E-05	9.62417350994004	0.529233760769106	0.310653034776946	-0.218580725992161	6	155537901	F	II	TIAM2	Body	shelf	Body-shelf	chr6:155539975-155540193	NA	TRUE				cg09364590
-0.172456166561725	0.681323160147819	-6.23628831066177	3.36981274940051E-09	1.59662540069668E-05	9.56863422958597	0.729172269945292	0.556716103383567	-0.172456166561725	17	76976357	R	II	LGALS3BP	TSS1500	opensea	TSS1500-opensea		TRUE	TRUE				cg17836612
-0.145545149318911	0.864741301677735	-6.22962642414063	3.48875445977917E-09	1.61515871084832E-05	9.53461488706025	0.905123770852924	0.759578621534013	-0.145545149318911	19	13125726	R	II	NFIX	Body	shore	Body-shore	chr19:13120986-13124368	TRUE	TRUE				cg14925616
-0.174058986057177	0.646985564321376	-6.22949886148188	3.49107172991912E-09	1.61515871084832E-05	9.53396370411977	0.695279387042442	0.521220400985266	-0.174058986057177	1	41892144	F	II		IGR	shelf	IGR-shelf	chr1:41889270-41889626	NA	NA				cg27521109
-0.120705010442354	0.864138281073541	-6.22697508835729	3.53722992373195E-09	1.6174847568455E-05	9.52108205592917	0.897628688595119	0.776923678152764	-0.120705010442354	6	25874590	R	II	SLC17A3	TSS200	opensea	TSS200-opensea		NA	NA				cg18357371
-0.207948089582064	0.430297821402045	-6.21853842428826	3.69592334215376E-09	1.66851069185392E-05	9.47804421482547	0.487994401170479	0.280046311588414	-0.207948089582064	6	32713607	R	II	HLA-DQA2	Body	opensea	Body-opensea		NA	NA				cg14740554
-0.223883230603638	0.579261538207936	-6.21658391805201	3.73367325312633E-09	1.66851069185392E-05	9.46807897890956	0.641379428780043	0.417496198176405	-0.223883230603638	2	27076093	R	II	DPYSL5	5'UTR	shelf	5'UTR-shelf	chr2:27070302-27072922	NA	NA				cg18562121
-0.205880510692409	0.739023013388643	-6.2089437167724	3.88490473223819E-09	1.6807694660399E-05	9.42914369756069	0.796145929650121	0.590265418957712	-0.205880510692409	15	101795550	R	II		IGR	shelf	IGR-shelf	chr15:101791151-101792714	NA	TRUE				cg05638500
-0.237741097909418	0.744476158034557	-6.20773412185258	3.90939278574019E-09	1.6807694660399E-05	9.42298225104503	0.810439006009424	0.572697908100006	-0.237741097909418	2	210737704	R	II	UNC80	Body	opensea	Body-opensea		NA	TRUE				cg08393822
-0.258612392008666	0.588130639915602	-6.20712530027761	3.92177555010582E-09	1.6807694660399E-05	9.41988131724035	0.659884367178122	0.401271975169456	-0.258612392008666	8	37749412	R	II	RAB11FIP1	Body	opensea	Body-opensea		NA	TRUE				cg17218270
-0.152734824469065	0.851182988482615	-6.20662086483766	3.93206437729294E-09	1.6807694660399E-05	9.41731220313158	0.893560280820852	0.740825456351787	-0.152734824469065	17	15586170	F	II	TRIM16	5'UTR	opensea	5'UTR-opensea		NA	NA				cg13649519
-0.121805747097805	0.682566488542041	-6.19604210970806	4.15404516028785E-09	1.72589578601402E-05	9.36346457222692	0.71636230276571	0.594556555667905	-0.121805747097805	17	39769064	R	II	KRT16	1stExon	opensea	1stExon-opensea		NA	NA				cg20762586
-0.154605775442468	0.888540468229762	-6.19589250493039	4.15727101225103E-09	1.72589578601402E-05	9.36270347650702	0.931436868352528	0.776831092910059	-0.154605775442468	16	3640538	R	I	BTBD12	Body	shore	Body-shore	chr16:3639092-3639306	NA	NA			rs58735123	cg05566243
-0.16359321998954	0.626381109716273	-6.19533578789172	4.16929683644577E-09	1.72589578601402E-05	9.35987135012746	0.671771136071752	0.508177916082212	-0.16359321998954	13	113630173	R	II	MCF2L	Body	shelf	Body-shelf	chr13:113633843-113634065	NA	NA				cg25745937
-0.110726264747485	0.877269906700316	-6.19173043462433	4.24800810725708E-09	1.7401611210703E-05	9.34153413485742	0.90799164489615	0.797265380148664	-0.110726264747485	3	149096884	R	II	TM4SF1	TSS1500	opensea	TSS1500-opensea		NA	NA				cg16705300
-0.187156380515602	0.690782653764605	-6.18798469828885	4.33132903740265E-09	1.74960081415942E-05	9.32249009214275	0.742710435641766	0.555554055126164	-0.187156380515602	8	55088102	F	II		IGR	opensea	IGR-opensea		NA	NA				cg18172013
-0.148079988060347	0.896109566226944	-6.18671069794526	4.36003213651219E-09	1.74960081415942E-05	9.31601449743927	0.937195343261029	0.789115355200682	-0.148079988060347	1	117035969	R	I		IGR	opensea	IGR-opensea		NA	NA	low-CpG:116837483-116837555			cg26218047
-0.298822206827198	0.733850313991537	-6.18282706709075	4.44868695070301E-09	1.7548541530746E-05	9.29627968269569	0.816760521666135	0.517938314838937	-0.298822206827198	17	46672924	R	I	LOC404266	Body	shore	Body-shore	chr17:46673532-46674181	NA	NA			rs34658349	cg00682096
-0.180608051801768	0.725299952234139	-6.18223440007801	4.4623709570219E-09	1.7548541530746E-05	9.29326871573003	0.775410856780294	0.594802804978526	-0.180608051801768	7	41732833	F	II	INHBA	Body	opensea	Body-opensea		NA	NA		rs11770488		cg18676273
-0.173537686351355	0.751784889936795	-6.18022142662545	4.50915741179803E-09	1.75569624468717E-05	9.2830434381111	0.799934074589194	0.626396388237839	-0.173537686351355	12	630773	F	II	B4GALNT3	Body	opensea	Body-opensea		NA	NA		rs71447492		cg25125231
-0.182362312008572	0.781298424068641	-6.16592287206798	4.85563327046699E-09	1.87206560530467E-05	9.21047222050591	0.831896059770441	0.649533747761869	-0.182362312008572	3	124913784	R	II	SLC12A8	Body	opensea	Body-opensea		NA	TRUE				cg18741958
-0.205983828708051	0.639080883897466	-6.15787036742095	5.06212257816134E-09	1.90677307351884E-05	9.16964949015657	0.69623246642918	0.490248637721129	-0.205983828708051	14	68825875	F	II	RAD51L1	Body	opensea	Body-opensea		NA	TRUE				cg18842157
-0.172447243096143	0.405566353557753	-6.15768544346621	5.06696438621506E-09	1.90677307351884E-05	9.1687124049552	0.453412987480382	0.280965744384239	-0.172447243096143	17	16736463	R	II	LOC400578	TSS1500	opensea	TSS1500-opensea		TRUE	NA				cg27112809
-0.111168316143694	0.803295107407844	-6.15676561731539	5.09111552575112E-09	1.90677307351884E-05	9.1640515369352	0.834139495702048	0.722971179558353	-0.111168316143695	14	103691569	R	II		IGR	opensea	IGR-opensea		NA	NA				cg01024455
