Gene	Cytoband	(A) FLT3 mutation	(B) FLT3 non mutation	(A) FLT3 mutation	(B) FLT3 non mutation	Log Ratio	p-Value	q-Value	Higher expression in
ST7-OT4	7q31.2	0.63	1.09	0.42	0.56	-0.46	5.77e-8	1.786e-5	(B) FLT3 non mutation
SNORD116-16	15q11.2	0.12	0.41	0.22	0.46	-0.29	5.77e-8	1.786e-5	(B) FLT3 non mutation
ADPRH	3q13.33	3.16	2.51	0.55	0.90	0.65	5.96e-8	1.806e-5	(A) FLT3 mutation
USP40	2q37.1	3.26	2.81	0.39	0.60	0.45	6.02e-8	1.806e-5	(A) FLT3 mutation
TSPAN7	Xp11.4	0.88	2.37	1.32	1.96	-1.49	6.50e-8	1.918e-5	(B) FLT3 non mutation
GEM	8q22.1	0.07	0.21	0.09	0.22	-0.14	6.59e-8	1.918e-5	(B) FLT3 non mutation
SPIC	12q23.2	0.04	0.28	0.08	0.44	-0.23	6.82e-8	1.955e-5	(B) FLT3 non mutation
RHOD	11q13.2	0.02	0.11	0.05	0.16	-0.09	6.92e-8	1.955e-5	(B) FLT3 non mutation
KLF12	13q22.1	0.89	1.70	0.75	1.01	-0.81	7.19e-8	2.001e-5	(B) FLT3 non mutation
PM20D1	1q32.1	0.16	0.39	0.17	0.37	-0.23	8.10e-8	2.197e-5	(B) FLT3 non mutation
SLC4A4	4q13.3	0.12	0.42	0.13	0.56	-0.30	8.11e-8	2.197e-5	(B) FLT3 non mutation
CPLX2	5q35.2	0.09	0.23	0.09	0.24	-0.14	8.38e-8	2.238e-5	(B) FLT3 non mutation
SNORD109A	15q11.2	0.54	1.26	0.70	0.85	-0.73	8.73e-8	2.300e-5	(B) FLT3 non mutation
COL6A2	21q22.3	0.73	1.46	0.62	1.04	-0.73	9.38e-8	2.424e-5	(B) FLT3 non mutation
INS-IGF2	11p15.5	0.42	1.13	0.57	1.09	-0.71	9.45e-8	2.424e-5	(B) FLT3 non mutation
IGF2	11p15.5	0.37	1.02	0.51	1.01	-0.65	9.99e-8	2.527e-5	(B) FLT3 non mutation
ANGPTL2	9q33.3	0.20	0.47	0.21	0.41	-0.27	1.01e-7	2.527e-5	(B) FLT3 non mutation
GNG2	14q22.1	2.84	3.95	1.18	0.91	-1.12	1.04e-7	2.571e-5	(B) FLT3 non mutation
CD5L	1q23.1	0.20	0.82	0.40	1.06	-0.62	1.06e-7	2.571e-5	(B) FLT3 non mutation
LARGE1	22q12.3	0.22	0.51	0.22	0.47	-0.29	1.17e-7	2.816e-5	(B) FLT3 non mutation
SLC22A17	14q11.2	0.29	0.72	0.27	0.76	-0.43	1.20e-7	2.852e-5	(B) FLT3 non mutation
SNORD116-23	15q11.2	0.19	0.55	0.33	0.52	-0.37	1.27e-7	2.975e-5	(B) FLT3 non mutation
MANCR	10p15.1	0.00	0.02	0.00	0.03	-0.01	1.34e-7	3.091e-5	(B) FLT3 non mutation
IL1RAP	3q28	4.01	3.10	0.92	0.93	0.90	1.35e-7	3.091e-5	(A) FLT3 mutation
NUDT18	8p21.3	2.98	2.56	0.42	0.47	0.42	1.54e-7	3.490e-5	(A) FLT3 mutation
XCL1	1q24.2	0.19	0.44	0.19	0.41	-0.25	1.57e-7	3.491e-5	(B) FLT3 non mutation
BCAR1	16q23.1	0.06	0.21	0.09	0.26	-0.15	1.58e-7	3.491e-5	(B) FLT3 non mutation
LY9	1q23.3	1.88	2.73	0.86	0.94	-0.85	1.60e-7	3.502e-5	(B) FLT3 non mutation
IFT80	3q25.33	3.91	3.24	0.71	0.57	0.67	1.66e-7	3.597e-5	(A) FLT3 mutation
FAM241B	10q22.1	0.13	0.35	0.14	0.37	-0.21	1.75e-7	3.747e-5	(B) FLT3 non mutation
PWARSN	15q11.2	1.60	2.73	1.21	1.00	-1.13	1.79e-7	3.783e-5	(B) FLT3 non mutation
CCDC80	3q13.2	0.19	0.60	0.32	0.67	-0.41	1.84e-7	3.850e-5	(B) FLT3 non mutation
TMEM132C	12q24.32	0.04	0.19	0.08	0.28	-0.15	1.87e-7	3.850e-5	(B) FLT3 non mutation
DLG2	11q14.1	0.06	0.13	0.04	0.13	-0.07	1.88e-7	3.850e-5	(B) FLT3 non mutation
TRIM46	1q22	2.91	2.21	0.67	0.93	0.70	1.95e-7	3.920e-5	(A) FLT3 mutation
GGTA1	9q33.2	0.64	1.18	0.47	0.81	-0.54	1.95e-7	3.920e-5	(B) FLT3 non mutation
PKLR	1q22	0.74	1.49	0.59	1.21	-0.75	1.99e-7	3.963e-5	(B) FLT3 non mutation
CD300LG	17q21.31	0.03	0.12	0.05	0.15	-0.08	2.08e-7	4.070e-5	(B) FLT3 non mutation
FBXO2	1p36.22	0.10	0.21	0.09	0.18	-0.11	2.09e-7	4.070e-5	(B) FLT3 non mutation
PWAR5	15q11.2	1.23	2.19	0.99	1.04	-0.96	2.19e-7	4.166e-5	(B) FLT3 non mutation
ESM1	5q11.2	0.13	0.52	0.28	0.67	-0.39	2.19e-7	4.166e-5	(B) FLT3 non mutation
TUSC3	8p22	0.04	0.21	0.10	0.30	-0.17	2.20e-7	4.166e-5	(B) FLT3 non mutation
TNIK	3q26.2-q26.31	1.20	1.97	0.74	1.03	-0.78	2.29e-7	4.288e-5	(B) FLT3 non mutation
SPATA24	5q31.2	2.22	1.84	0.37	0.50	0.38	2.31e-7	4.288e-5	(A) FLT3 mutation
CCDC141	2q31.2	0.10	0.26	0.07	0.31	-0.16	2.43e-7	4.474e-5	(B) FLT3 non mutation
KIRREL1	1q23.1	0.25	0.83	0.50	0.88	-0.58	2.59e-7	4.726e-5	(B) FLT3 non mutation
HSPA12B	20p13	0.73	1.09	0.32	0.52	-0.36	2.86e-7	5.153e-5	(B) FLT3 non mutation
THY1	11q23.3	0.35	1.05	0.59	1.08	-0.69	2.92e-7	5.210e-5	(B) FLT3 non mutation
TNS4	17q21.2	0.02	0.05	0.02	0.05	-0.03	2.96e-7	5.210e-5	(B) FLT3 non mutation
ARRDC4	15q26.2	3.94	3.35	0.58	0.76	0.59	2.97e-7	5.210e-5	(A) FLT3 mutation
PRXL2A	10q23.1	0.67	1.47	0.73	1.18	-0.80	3.04e-7	5.298e-5	(B) FLT3 non mutation
CCL4	17q12	1.85	2.63	0.74	1.06	-0.78	3.18e-7	5.438e-5	(B) FLT3 non mutation
NID2	14q22.1	0.63	0.97	0.30	0.52	-0.34	3.18e-7	5.438e-5	(B) FLT3 non mutation
TINCR	19p13.3	0.30	0.55	0.20	0.41	-0.25	3.31e-7	5.604e-5	(B) FLT3 non mutation
TIMP3	22q12.3	0.63	1.41	0.55	1.39	-0.78	3.46e-7	5.785e-5	(B) FLT3 non mutation
PDE4B	1p31.3	2.41	3.37	1.00	1.10	-0.96	3.47e-7	5.785e-5	(B) FLT3 non mutation
DMWD	19q13.32	1.02	1.61	0.55	0.86	-0.59	3.59e-7	5.904e-5	(B) FLT3 non mutation
AKAP12	6q25.1	0.19	0.51	0.22	0.56	-0.31	3.60e-7	5.904e-5	(B) FLT3 non mutation
SNURF	15q11.2	3.04	4.60	1.75	1.27	-1.56	3.82e-7	6.201e-5	(B) FLT3 non mutation
DMPK	19q13.32	0.79	1.31	0.46	0.79	-0.52	3.96e-7	6.375e-5	(B) FLT3 non mutation
IFITM1	11p15.5	4.60	5.76	1.24	1.29	-1.16	4.09e-7	6.534e-5	(B) FLT3 non mutation
POU6F1	12q13.13	1.22	1.84	0.68	0.61	-0.62	4.12e-7	6.534e-5	(B) FLT3 non mutation
PROP1	5q35.3	0.04	0.12	0.05	0.15	-0.08	4.31e-7	6.781e-5	(B) FLT3 non mutation
COL1A2	7q21.3	0.41	1.13	0.65	1.10	-0.72	4.47e-7	6.964e-5	(B) FLT3 non mutation
FAM167B	1p35.2	0.24	0.49	0.22	0.37	-0.24	4.54e-7	6.979e-5	(B) FLT3 non mutation
USHBP1	19p13.11	0.05	0.12	0.04	0.15	-0.08	4.55e-7	6.979e-5	(B) FLT3 non mutation
ISLR	15q24.1	0.12	0.43	0.24	0.53	-0.31	4.66e-7	7.019e-5	(B) FLT3 non mutation
SNORD116-18	15q11.2	0.40	0.97	0.51	0.90	-0.57	4.68e-7	7.019e-5	(B) FLT3 non mutation
GATA3	10p14	0.81	1.46	0.65	0.87	-0.65	4.69e-7	7.019e-5	(B) FLT3 non mutation
PFN2	3q25.1	0.51	0.80	0.25	0.46	-0.29	4.75e-7	7.019e-5	(B) FLT3 non mutation
CCL2	17q12	0.23	0.69	0.32	0.81	-0.45	4.75e-7	7.019e-5	(B) FLT3 non mutation
RGL1	1q25.3	0.43	0.87	0.39	0.70	-0.44	5.03e-7	7.365e-5	(B) FLT3 non mutation
TRIM16	17p12	1.99	1.16	0.96	0.57	0.83	5.24e-7	7.622e-5	(A) FLT3 mutation
PLA2G2D	1p36.12	0.12	0.31	0.16	0.31	-0.19	5.30e-7	7.653e-5	(B) FLT3 non mutation
LINC00598	13q14.11	0.06	0.15	0.06	0.17	-0.09	5.71e-7	8.191e-5	(B) FLT3 non mutation
NFATC4	14q12	0.05	0.26	0.08	0.45	-0.22	5.79e-7	8.216e-5	(B) FLT3 non mutation
IAH1	2p25.1	4.89	4.61	0.28	0.36	0.27	5.82e-7	8.216e-5	(A) FLT3 mutation
DDN	12q13.12	0.29	0.54	0.18	0.44	-0.25	5.88e-7	8.246e-5	(B) FLT3 non mutation
AOX1	2q33.1	0.23	0.61	0.23	0.72	-0.37	5.94e-7	8.264e-5	(B) FLT3 non mutation
MUC6	11p15.5	0.59	0.93	0.34	0.48	-0.34	5.98e-7	8.264e-5	(B) FLT3 non mutation
HEATR6	17q23.1	3.60	3.24	0.38	0.43	0.36	6.13e-7	8.377e-5	(A) FLT3 mutation
CIBAR2	16q24.1	0.03	0.12	0.04	0.18	-0.09	6.15e-7	8.377e-5	(B) FLT3 non mutation
DLL1	6q27	0.24	0.66	0.34	0.71	-0.41	6.74e-7	9.127e-5	(B) FLT3 non mutation
TSPAN18	11p11.2	0.73	1.23	0.48	0.75	-0.50	6.93e-7	9.317e-5	(B) FLT3 non mutation
PRDM16-DT	1p36.32	1.62	0.49	1.33	0.85	1.14	7.11e-7	9.436e-5	(A) FLT3 mutation
GOT1	10q24.2	3.38	3.02	0.37	0.46	0.36	7.12e-7	9.436e-5	(A) FLT3 mutation
RAPGEF4-AS1	2q31.1	0.02	0.07	0.03	0.09	-0.05	7.28e-7	9.540e-5	(B) FLT3 non mutation
CCDC24	1p34.1	2.00	1.36	0.72	0.60	0.63	7.31e-7	9.540e-5	(A) FLT3 mutation
A2M	12p13.31	1.10	1.78	0.67	0.99	-0.69	7.34e-7	9.540e-5	(B) FLT3 non mutation
RSPO1	1p34.3	0.07	0.25	0.13	0.34	-0.18	7.61e-7	9.829e-5	(B) FLT3 non mutation
KATNIP	16p12.1	3.05	2.73	0.34	0.39	0.32	7.71e-7	9.879e-5	(A) FLT3 mutation
NKX2-3	10q24.2	2.41	0.94	1.67	1.42	1.47	7.75e-7	9.879e-5	(A) FLT3 mutation
LBH	2p23.1	2.73	3.46	0.79	0.85	-0.73	7.94e-7	1.005e-4	(B) FLT3 non mutation
NOS3	7q36.1	0.33	0.60	0.25	0.41	-0.26	8.10e-7	1.019e-4	(B) FLT3 non mutation
DCN	12q21.33	0.48	1.22	0.72	1.10	-0.74	8.21e-7	1.025e-4	(B) FLT3 non mutation
GZMK	5q11.2	1.76	2.64	0.92	1.12	-0.87	8.88e-7	1.102e-4	(B) FLT3 non mutation
SNRPN	15q11.2	2.61	4.01	1.63	1.22	-1.40	9.05e-7	1.116e-4	(B) FLT3 non mutation
FERMT2	14q22.1	0.20	0.46	0.21	0.44	-0.25	9.25e-7	1.134e-4	(B) FLT3 non mutation
ARHGAP8	22q13.31	0.09	0.23	0.10	0.25	-0.14	9.37e-7	1.142e-4	(B) FLT3 non mutation
TMPRSS13	11q23.3	0.29	0.52	0.23	0.34	-0.23	9.48e-7	1.148e-4	(B) FLT3 non mutation
RAMP2	17q21.2	0.23	0.56	0.28	0.58	-0.34	9.55e-7	1.149e-4	(B) FLT3 non mutation
FSD1L	9q31.2	1.76	1.37	0.42	0.49	0.39	9.61e-7	1.150e-4	(A) FLT3 mutation
ENPP1	6q23.2	0.01	0.06	0.02	0.10	-0.05	9.67e-7	1.150e-4	(B) FLT3 non mutation
SLAMF7	1q23.3	2.02	3.00	1.09	1.14	-0.98	9.86e-7	1.165e-4	(B) FLT3 non mutation
SPAG4	20q11.22	1.15	1.55	0.38	0.62	-0.40	9.95e-7	1.168e-4	(B) FLT3 non mutation
LAMC1	1q25.3	0.76	1.84	1.14	1.46	-1.09	1.007e-6	1.171e-4	(B) FLT3 non mutation
CHI3L2	1p13.2	0.55	0.95	0.35	0.67	-0.40	1.009e-6	1.171e-4	(B) FLT3 non mutation
GALNT17	7q11.22	0.00	0.04	0.02	0.06	-0.03	1.022e-6	1.179e-4	(B) FLT3 non mutation
SGPP1	14q23.2	1.21	2.05	0.83	1.26	-0.84	1.032e-6	1.179e-4	(B) FLT3 non mutation
HOXB6	17q21.32	2.54	1.05	1.70	1.50	1.49	1.035e-6	1.179e-4	(A) FLT3 mutation
TMEM98	17q11.2	0.17	0.65	0.31	0.94	-0.48	1.045e-6	1.183e-4	(B) FLT3 non mutation
FABP4	8q21.13	0.53	1.30	0.73	1.23	-0.78	1.050e-6	1.183e-4	(B) FLT3 non mutation
INSL3	19p13.11	0.95	1.55	0.66	0.71	-0.60	1.090e-6	1.221e-4	(B) FLT3 non mutation
SPTBN2	11q13.2	0.65	1.10	0.39	0.75	-0.45	1.109e-6	1.235e-4	(B) FLT3 non mutation
STK36	2q35	3.35	2.84	0.57	0.57	0.51	1.116e-6	1.236e-4	(A) FLT3 mutation
LMLN	3q29	1.81	1.25	0.64	0.58	0.56	1.137e-6	1.252e-4	(A) FLT3 mutation
PRKACG	9q21.11	0.04	0.12	0.05	0.16	-0.08	1.170e-6	1.282e-4	(B) FLT3 non mutation
PDLIM3	4q35.1	0.00	0.02	0.01	0.03	-0.02	1.182e-6	1.287e-4	(B) FLT3 non mutation
EPN2	17p11.2	0.68	1.25	0.60	0.77	-0.57	1.224e-6	1.325e-4	(B) FLT3 non mutation
AGAP1	2q37.2	0.37	0.83	0.35	0.86	-0.46	1.235e-6	1.328e-4	(B) FLT3 non mutation
GTSF1	12q13.13	5.22	3.43	1.85	2.52	1.79	1.243e-6	1.328e-4	(A) FLT3 mutation
PRSS54	16q21	0.51	0.22	0.36	0.21	0.30	1.247e-6	1.328e-4	(A) FLT3 mutation
KCTD10	12q24.11	3.11	2.92	0.20	0.24	0.19	1.304e-6	1.382e-4	(A) FLT3 mutation
CCL14	17q12	0.35	0.90	0.53	0.87	-0.55	1.325e-6	1.396e-4	(B) FLT3 non mutation
PFKP	10p15.2	4.77	4.26	0.52	0.73	0.51	1.352e-6	1.417e-4	(A) FLT3 mutation
COL14A1	8q24.12	0.30	0.77	0.34	0.91	-0.47	1.461e-6	1.517e-4	(B) FLT3 non mutation
CCL15	17q12	0.33	0.86	0.50	0.84	-0.53	1.463e-6	1.517e-4	(B) FLT3 non mutation
SNORD116-4	15q11.2	1.32	2.38	1.22	1.11	-1.05	1.478e-6	1.525e-4	(B) FLT3 non mutation
ADRB1	10q25.3	1.57	0.77	0.93	0.88	0.81	1.509e-6	1.548e-4	(A) FLT3 mutation
NIPAL2	8q22.2	4.00	3.36	0.64	0.96	0.64	1.516e-6	1.548e-4	(A) FLT3 mutation
PRRX2	9q34.11	0.01	0.06	0.02	0.11	-0.05	1.530e-6	1.553e-4	(B) FLT3 non mutation
RASGRP1	15q14	1.79	2.41	0.68	0.81	-0.63	1.542e-6	1.557e-4	(B) FLT3 non mutation
TJP3	19p13.3	0.15	0.32	0.16	0.26	-0.16	1.618e-6	1.626e-4	(B) FLT3 non mutation
DLG3	Xq13.1	0.25	0.58	0.33	0.55	-0.34	1.669e-6	1.669e-4	(B) FLT3 non mutation
KRT13	17q21.2	0.05	0.29	0.11	0.51	-0.24	1.691e-6	1.682e-4	(B) FLT3 non mutation
LINC01128	1p36.33	1.50	1.90	0.45	0.49	-0.40	1.719e-6	1.701e-4	(B) FLT3 non mutation
OTUD7B	1q21.2	0.39	0.70	0.30	0.50	-0.31	1.732e-6	1.705e-4	(B) FLT3 non mutation
SVEP1	9q31.3	0.05	0.22	0.09	0.37	-0.18	1.765e-6	1.729e-4	(B) FLT3 non mutation
SLC22A3	6q25.3	0.14	0.39	0.23	0.43	-0.25	1.798e-6	1.753e-4	(B) FLT3 non mutation
CTNS	17p13.2	3.20	2.89	0.36	0.36	0.31	1.814e-6	1.759e-4	(A) FLT3 mutation
FNDC1	6q25.3	0.02	0.11	0.06	0.18	-0.09	1.866e-6	1.800e-4	(B) FLT3 non mutation
EYA1	8q13.3	0.06	0.26	0.10	0.43	-0.21	1.924e-6	1.841e-4	(B) FLT3 non mutation
IPW	15q11.2	1.16	2.10	1.10	1.01	-0.94	1.936e-6	1.841e-4	(B) FLT3 non mutation
KRT12	17q21.2	0.01	0.03	0.02	0.05	-0.02	1.936e-6	1.841e-4	(B) FLT3 non mutation
FAH	15q25.1	3.57	3.09	0.56	0.58	0.49	1.951e-6	1.846e-4	(A) FLT3 mutation
SIRPG	20p13	0.98	1.60	0.68	0.85	-0.62	1.985e-6	1.862e-4	(B) FLT3 non mutation
WDR55	5q31.3	4.01	3.75	0.26	0.40	0.26	1.988e-6	1.862e-4	(A) FLT3 mutation
TCAF2	7q35	0.49	0.73	0.23	0.38	-0.24	1.997e-6	1.862e-4	(B) FLT3 non mutation
NDUFA4L2	12q13.3	0.24	0.42	0.16	0.30	-0.18	2.172e-6	2.011e-4	(B) FLT3 non mutation
LIN28A	1p36.11	0.28	0.42	0.14	0.23	-0.14	2.176e-6	2.011e-4	(B) FLT3 non mutation
SNORD116-28	15q11.2	0.92	1.72	0.93	0.91	-0.80	2.222e-6	2.043e-4	(B) FLT3 non mutation
CDH5	16q21	0.20	0.49	0.26	0.52	-0.30	2.253e-6	2.062e-4	(B) FLT3 non mutation
ARSD	Xp22.33	4.32	3.73	0.60	0.93	0.59	2.289e-6	2.085e-4	(A) FLT3 mutation
TMEM108	3q22.1	0.06	0.20	0.10	0.28	-0.14	2.344e-6	2.123e-4	(B) FLT3 non mutation
RAPGEF4	2q31.1	0.13	0.35	0.15	0.45	-0.22	2.353e-6	2.123e-4	(B) FLT3 non mutation
SLC16A10	6q21	0.27	0.61	0.29	0.62	-0.34	2.396e-6	2.153e-4	(B) FLT3 non mutation
PRSS23	11q14.2	0.29	0.58	0.26	0.51	-0.29	2.491e-6	2.227e-4	(B) FLT3 non mutation
TREML2	6p21.1	2.77	2.07	0.82	0.82	0.70	2.508e-6	2.232e-4	(A) FLT3 mutation
PWAR1	15q11.2	0.11	0.27	0.16	0.25	-0.16	2.562e-6	2.270e-4	(B) FLT3 non mutation
PGBD4	15q14	2.56	2.13	0.51	0.48	0.43	2.577e-6	2.273e-4	(A) FLT3 mutation
GRAP2	22q13.1	1.29	2.09	0.89	1.05	-0.79	2.675e-6	2.334e-4	(B) FLT3 non mutation
ST7-AS2	7q31.2	0.59	0.96	0.41	0.51	-0.37	2.680e-6	2.334e-4	(B) FLT3 non mutation
FOXO1	13q14.11	1.94	2.71	0.82	1.13	-0.77	2.682e-6	2.334e-4	(B) FLT3 non mutation
TINAGL1	1p35.2	0.22	0.59	0.29	0.70	-0.37	2.697e-6	2.337e-4	(B) FLT3 non mutation
PRDM16	1p36.32	2.04	0.82	1.48	1.21	1.21	2.842e-6	2.451e-4	(A) FLT3 mutation
DENND2A	7q34	0.03	0.10	0.05	0.12	-0.06	2.871e-6	2.466e-4	(B) FLT3 non mutation
ZDBF2	2q33.3	0.15	0.39	0.15	0.49	-0.24	2.952e-6	2.520e-4	(B) FLT3 non mutation
KAZALD1	10q24.31	0.12	0.31	0.09	0.43	-0.20	2.973e-6	2.520e-4	(B) FLT3 non mutation
DMXL2	15q21.2	5.06	4.06	1.11	1.40	1.00	2.973e-6	2.520e-4	(A) FLT3 mutation
CADPS2	7q31.32	0.04	0.17	0.06	0.27	-0.12	3.007e-6	2.529e-4	(B) FLT3 non mutation
CPLX1	4p16.3	0.06	0.15	0.08	0.17	-0.09	3.012e-6	2.529e-4	(B) FLT3 non mutation
